market_id,event_ticker,action,reason,new_enabled,new_min_spread,new_quote_size,new_max_inventory_yes,new_max_inventory_no,pnl_24h,fill_count_24h,fill_count_48h,has_position,position_qty,fair_value,fair_value_rationale,approve
KXBOND-30-AP,KXBOND-30,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXAISTREAMSERIES-27-AMA,KXAISTREAMSERIES-27,skip_event_active,No fills in 48 hours (but 2 sibling markets active),,,,,,0.00,0,0,False,0,,,no
KX2028RRUN-28-RDES,KX2028RRUN-28,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXSBSETLISTS-26-DAK,KXSBSETLISTS-26,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXIPO-26-ANTHROPIC,KXIPO-26,skip_event_active,No fills in 48 hours (but 1 sibling markets active),,,,,,0.00,0,0,False,0,,,no
KXLEADERSOUT-27JAN01-VZELUKR,KXLEADERSOUT-27JAN01,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXTRUMPRUN-27JAN01,KXTRUMPRUN,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXDOJEPSTEINOUT-26,KXDOJEPSTEINOUT-26,expand,Positive P&L ($0.29) and median fill = quote size (10.0),,,20,40,40,0.29,6,19,True,-6,,,yes
KXGTAPRICE-70,KXGTAPRICE,skip_event_active,No fills in 48 hours (but 2 sibling markets active),,,,,,0.00,0,0,False,0,,,no
KXLEADERSOUT-27JAN01-AALSSYR,KXLEADERSOUT-27JAN01,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXTRILLIONAIRE-30-EM,KXTRILLIONAIRE-30,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXNEXTTEAMNBA-26ADAV-CHI,KXNEXTTEAMNBA-26ADAV,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXNEXTCOACHOUTNFL-26-2-LV,KXNEXTCOACHOUTNFL-26-2,expand,Positive P&L ($0.60) and median fill = quote size (10.0),,,20,40,40,0.60,2,2,False,0,,,yes
KXMUSKCHALLENGERS-26-5,KXMUSKCHALLENGERS-26,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXGTAPRICE-90,KXGTAPRICE,expand,Positive P&L ($0.30) and median fill = quote size (10.0),,,20,40,40,0.30,2,5,True,-20,,,yes
KXNEXTTEAMNBA-26ADAV-ATL,KXNEXTTEAMNBA-26ADAV,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
KXMAYORCHI-27-MPAP,KXMAYORCHI-27,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0,,,yes
