market_id,event_ticker,action,reason,new_enabled,new_min_spread,new_quote_size,new_max_inventory_yes,new_max_inventory_no,pnl_24h,fill_count_24h,fill_count_48h,has_position,position_qty,info_risk_probability,info_risk_rationale,approve
KXNEXTCOACHOUTNFL-26-2-TB,KXNEXTCOACHOUTNFL-26-2,expand,Positive P&L ($0.18) and median fill = quote size (5.0),,0.04,10,10,10,0.18,3,3,True,-5,12,"It’s late December and most NFL coaching decisions are announced immediately after the regular season or into early January, so a Tampa Bay-specific departure or definitive leak in the next 7 days is unlikely; however, firings at other teams or a surprise Tampa Bay announcement could still move the market by >20%. Historically only a small fraction of head-coach exits are revealed in this exact one-week window, so I judge the chance of market-moving news that shifts the price by more than 20% at roughly 12%.",yes
KXAISTREAMSERIES-27-AMA,KXAISTREAMSERIES-27,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,3,"Very unlikely — an actual public release of a fully AI‑generated multi‑episode scripted series (or definitive evidence Amazon will release one before 2027) requires production/distribution steps and there are no credible scheduled launches or announcements in the holiday week (Dec 27–Jan 3). A surprise leak or sudden Amazon declaration could move the market, but the probability of such decisive, price‑moving news within seven days is extremely low.",yes
EVSHARE-30JAN-30,EVSHARE-30JAN,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,5,"There are no scheduled policy rollouts, major industry-wide earnings or definitive regulatory decisions in the next 7 days that would plausibly change a 2030 EV market-share view by >20 percentage points; this is a long-horizon structural outcome and short-term news rarely shifts it that much. A large but rare shock (e.g., a massive OEM bankruptcy, catastrophic battery-supply disruption, or unprecedented government mandate announced unexpectedly) could move prices by that magnitude, but the chance of such a shock in the coming week is very low.",yes
KXNEXTCOACHOUTNFL-26-2-SEA,KXNEXTCOACHOUTNFL-26-2,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,65,"This is the week between late-December games and the usual wave of end-of-regular-season coaching decisions; historically several head-coach departures/announcements (or strong rumors) occur in the days immediately after Week 17/18. Because the current price is only ~4%, a >20% relative move is a small absolute change, so even an early firing elsewhere or a credible Seattle-specific rumor is likely to shift the market within the next 7 days.",yes
KXTECHLAYOFF-25NOV-1.4,KXTECHLAYOFF-25NOV,expand,Positive P&L ($0.34) and median fill = quote size (5.0),,0.04,10,10,10,0.34,7,7,False,0,15,"Major official monthly series that would definitively report November 2025 layoffs (BLS/JOLTS-style releases) are unlikely to appear in the next 7 days given the date/holiday schedule, so there’s low chance of a definitive data-driven resolution. However, concentrated company-level layoff announcements after the holidays or a surprise industry report could still move market sentiment by >20%, so I assign a modest ~15% chance of such market-moving news in the next week.",yes
KXIPO-26-ANTHROPIC,KXIPO-26,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,10,"I assess a low (≈10%) chance of market-moving information in the next 7 days that would shift price >20%. Year‑end holidays make formal corporate actions and press cycles unlikely, and while an IPO confirmation/S‑1 filing would decisively move the market, such a definitive announcement or comparable regulatory/leak event is improbable in this short window—though not impossible due to leaks or unexpected developments.",yes
KXDOJEPSTEINOUT-26,KXDOJEPSTEINOUT-26,scale_down,P&L < -$0.50 ($-0.82) - scaling down (quote 20.0->10.0),,0.08,10,10,10,-0.82,6,14,True,1,15,"Low but non-negligible: the DOJ typically conducts internal reviews and public attributions of departures take time, and the late-December holiday period makes a rapid, widely reported resignation or firing directly tied to the December Epstein-files release less likely within seven days. However, a leak or sudden political/press escalation could still produce an immediate reported departure, so the short-term probability is not zero.",yes
KXNEXTCOACHOUTNFL-26-2-PIT,KXNEXTCOACHOUTNFL-26-2,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,65,"Late-December/early-January is the standard window for NFL teams to announce head-coach firings and many non-Pittsburgh teams historically announce changes immediately after the regular season, so there is a strong chance at least one coach announcement will hit in the next 7 days and push this market well below/above its current level. Pittsburgh’s head coach has historically been unusually secure, making a Pittsburgh-specific announcement less likely in this window, but any other team’s firing would likely move the ~4% price by more than 20% relative.",yes
KXGTAPRICE-70,KXGTAPRICE,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,18,"The PS5 base price for GTA VI is already broadly established across retailers, so a major permanent repricing that would flip market odds by >20 percentage points within seven days is unlikely. However, year-end/New Year sales or a sudden major retailer/PlayStation Store promotion could temporarily push the storefront price below $70 and cause a meaningful re-pricing, so a small but non-negligible chance exists.",yes
KXCPI-25DEC-T0.2,KXCPI-25DEC,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,8,"The December CPI release (which decides the market) is not scheduled within the next 7 days, and there are no major scheduled monthly inflation inputs due in this window — only low-impact weekly data and holiday-thinned liquidity. A >20 percentage-point repricing would therefore require a rare, large exogenous shock (e.g., abrupt oil/energy supply disruption, major geopolitical event, or surprise policy action), which is possible but unlikely over the next week.",yes
KXNEXTCOACHOUTNFL-26-2-LV,KXNEXTCOACHOUTNFL-26-2,scale_down,High info risk (90% > 25%) - scaling down (quote 25.0->12.0),,0.08,12,12,12,0.86,5,15,True,-21,90,The next 7 days coincide with the end of the NFL regular season — teams and ownership historically announce multiple head-coach changes immediately after final games. It is therefore very likely (≈90%) that at least one head-coach departure will be announced in this window; any announcement naming a first coach out (Las Vegas or another team) would almost certainly swing the market by more than 20% (either resolving the market or sharply pushing the price).,yes
KXGTAPRICE-90,KXGTAPRICE,expand,Positive P&L ($0.84) and median fill = quote size (20.0),,0.04,25,25,25,0.84,2,5,True,-10,10,"There are no known Rockstar/Take‑Two events or scheduled retailer preorder launches in the next 7 days that would reliably disclose GTA VI’s PS5 base price, and the New Year holiday period makes an official reveal unlikely. A small chance remains for an unexpected leak or rogue retailer listing that could swing market pricing by >20 percentage points, but that risk is low.",yes
KXSWIFTKELCEWEDDINGLOCATION-30-RHO,KXSWIFTKELCEWEDDINGLOCATION-30,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,8,"Very unlikely in the next 7 days — only a definitive confirmation (public announcement, venue booking leak, or the wedding itself) that it will be in Rhode Island (or firm confirmation it won’t be) would move the market >20 points from ~72%. End-of-year/holiday timing makes a major announcement or verified leak less probable, though sudden celebrity news or a surprise elopement leaves a small nonzero chance.",yes
KXCABLEAVE-25-26MAR,KXCABLEAVE-25,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,15,"Given today is 2025-12-27 and end-of-year holidays lower the chance of high-impact announcements, cabinet departures are relatively rare on a one-week timescale so a >20% price swing is unlikely. That said, sudden health issues, scandals, or an unexpected resignation could still occur, so there’s a modest (nonzero) chance of market-moving news within seven days.",yes
KXTENNCOACH-26-MNAG,KXTENNCOACH-26,expand,Positive P&L ($0.08) and median fill = quote size (10.0),,0.04,20,20,20,0.08,3,6,True,-20,25,"A definitive hire or incontrovertible reporting that would swing the market by >20 percentage points (e.g., an announcement that Matt Nagy is the permanent coach or that another candidate has been chosen) is possible in the immediate post-regular-season window, but most teams finalize hires in the second week of January. Given today is 2025-12-27, there is a modest but not high chance that decisive, market-moving news will arrive within seven days.",yes
KXNEXTCOACHOUTNFL-26-2-MIA,KXNEXTCOACHOUTNFL-26-2,expand,Positive P&L ($0.53) and median fill = quote size (10.0),,0.04,20,20,20,0.53,4,9,False,0,12,"Late December/early January is when NFL coaching decisions and rumors start to surface, so there is a small but real chance of a Miami-related firing announcement or credible rumor in the next 7 days that would materially move an 8% price. However, absent widespread reporting of an imminent Miami coach departure as of 2025-12-27 and given that most teams announce changes over the coming weeks, the likelihood of market-moving Miami-specific news in this narrow window is low.",yes
